label,projection_score
0,0.018195465
0,-0.013725355
1,-0.3277713
0,0.12592682
0,-0.20343041
0,0.11962672
0,0.052523557
0,-0.08679441
0,0.07213744
1,-0.10427159
1,0.29131207
0,0.0050582737
1,-0.29116803
1,-0.056215163
1,0.35646525
0,-0.01450946
1,0.31088725
0,-0.01722151
1,0.0217125
1,-0.20487358
1,0.063184164
0,0.0410776
0,-0.10834496
1,-0.017865522
1,-0.33766013
1,-0.31577206
0,-0.09555724
1,0.02440191
0,0.013300514
1,-0.09772669
1,-0.020900333
1,0.111864865
0,-0.046869792
1,0.07225585
0,0.0024129031
0,-0.06825644
1,0.2815794
1,0.20454055
1,0.036536418
1,0.17131288
0,0.18221681
0,0.14403702
1,0.107657194
1,0.052940845
0,0.006464171
0,-0.10156271
0,0.0256635
0,-0.18033537
0,-0.07333686
1,0.11008796
1,-0.19969384
0,-0.030540828
1,0.15539455
0,-0.05157966
1,-0.006142323
0,0.16092092
0,0.03901083
1,-0.31540462
0,0.07415218
0,-0.022697557
0,0.010749649
1,-0.15746006
1,0.08837306
1,-0.24504623
1,-0.011816459
0,0.07646674
0,-0.07855933
0,-0.06285257
0,-0.0060248687
0,-0.011198832
1,-0.067039885
1,-0.082978785
0,-0.030912556
0,-0.13615318
1,0.21051767
1,0.19621626
1,-0.06395591
0,0.048778214
1,0.17481908
1,-0.025849074
1,-0.0018318733
1,0.19828972
0,-0.14583337
0,-0.037628103
1,-0.014672541
0,-0.05029755
1,-0.118319124
0,-0.049894907
0,-0.030822154
1,0.17133245
0,0.15971291
1,0.3123408
1,0.08429806
0,0.043006517
0,-0.07891628
1,0.18818307
0,0.0075431736
0,-0.038381994
0,0.23448406
1,0.068481974
0,0.026543194
0,-0.17243859
0,0.06851925
1,0.36765283
1,6.99634e-05
1,-0.018960638
0,-0.07045221
0,0.03687633
0,0.04001163
0,-0.10763273
1,-0.027352387
1,0.18845622
1,0.010922473
0,-0.0053718295
1,-0.008344704
0,0.0050969105
1,0.09737678
1,0.266662
1,-0.08076687
1,0.11692954
0,-0.07644847
0,0.010616427
0,-0.03260841
1,-0.22535238
1,0.29131767
1,-0.20190258
1,-0.019702697
1,0.043969825
0,-0.05622806
1,-0.035805564
1,-0.03546111
0,0.029898994
0,0.048745625
1,0.41744894
1,-0.06934812
1,0.020598393
0,0.026851319
1,0.33845884
0,0.22719201
1,0.104549564
1,0.1752365
1,0.17999573
1,0.3563913
1,0.13986014
0,-0.20721668
