label,pca_x,pca_y
0,-0.056826033,0.04238975
1,-0.14857861,-0.07110138
1,-0.010988738,-0.33585787
1,-0.13213722,-0.1562437
1,-0.121451125,-0.0067867786
0,0.08263266,0.074960485
0,-0.1028921,0.25799656
1,-0.20316856,0.21282059
1,-0.23558843,-0.36936438
0,0.009301703,0.11214022
1,0.23050785,0.38605177
1,-0.33828884,-0.070787504
0,0.10376643,-0.041364267
1,0.4129418,-0.13902782
1,0.23191392,-0.13472362
1,0.011518098,-0.25234652
0,0.2284053,0.21238594
1,0.14989108,0.23986007
0,-0.17676209,-0.13298918
0,0.072689846,-0.1398379
1,-0.35575706,0.21459341
0,0.090960875,-0.004016325
1,0.18980038,-0.36890602
0,0.27393228,-0.05199583
1,-0.27422735,-0.27858347
0,-0.01552931,0.0036597103
1,0.24235314,0.069484025
1,-0.46275958,0.12165785
0,0.27411824,-0.00088332593
1,-0.34439832,-0.10489112
1,-0.043825462,0.056521416
1,-0.25181314,-0.12819757
1,-0.31285274,-0.1097049
0,0.24088266,0.023966655
1,0.044855405,0.0036365092
0,0.06888312,0.19353516
1,0.15758961,0.28464612
1,0.026707314,0.20976697
1,0.015047897,0.12627913
1,0.43433416,0.100684375
0,-0.07745018,0.10366026
1,0.11486086,0.021147177
0,0.20318398,-0.1415443
1,0.13017932,-0.074738964
0,-0.030844724,0.045481846
1,0.391518,0.34741533
1,0.10203177,-0.32942116
1,-0.19280772,-0.0748253
0,-0.038436282,-0.29795575
1,-0.15255927,0.12718934
0,-0.01117285,-0.13472544
0,0.28898388,0.19580498
0,-0.05459678,-0.038919464
1,0.18271452,0.083877414
0,0.21643305,0.051502533
1,0.126668,-0.007201314
0,-0.06844342,0.11769365
1,-0.23264796,-0.29542792
1,0.48743796,0.09319545
1,-0.2207384,0.4412095
0,-0.16433479,-0.06975855
1,0.15777265,0.2448277
1,-0.036523536,0.10651132
1,-0.4651462,0.42817217
0,0.36725286,-0.14624365
1,-0.0687367,-0.16718842
0,-0.24622625,0.07675427
0,-0.0940671,0.08776997
0,-0.0036540478,-0.01245667
1,0.115614966,-0.17786975
1,0.08734693,0.03519856
1,-0.22720948,-0.36763203
1,-0.056050867,0.12457681
0,-0.028873947,0.070837855
